City_ID,city,latitude,longitude,max temp,city humidity,cloudiness,wind speed,country,date
0,forster,-32.1667,152.5167,81.37,58,20,5.66,AU,1710200888
1,blackmans bay,-43.0167,147.3167,63.52,69,74,1.99,AU,1710200888
2,oak grove,45.4168,-122.6401,48.94,89,100,9.22,US,1710200350
3,grytviken,-54.2811,-36.5092,42.31,81,43,7.7,GS,1710200888
4,hamilton,39.1834,-84.5333,56.25,37,0,12.66,US,1710200889
5,tiksi,71.6872,128.8694,-2.13,97,100,5.19,RU,1710200889
6,saint-leu,-21.15,55.2833,77.83,79,19,3.56,RE,1710200889
7,saldanha,-33.0117,17.9442,68.05,95,5,14.07,ZA,1710200889
8,fort bragg,35.139,-79.006,60.94,24,0,10.36,US,1710200570
9,san luis de la loma,17.2706,-100.8939,82.92,53,0,6.91,MX,1710200890
10,praia da vitoria,38.7333,-27.0667,59.76,88,20,12.44,PT,1710200890
11,al muwayh,22.4333,41.7583,67.05,18,30,11.48,SA,1710200891
12,antofagasta,-23.65,-70.4,67.28,84,21,7.96,CL,1710200704
13,georgetown,5.4112,100.3354,80.94,84,20,5.01,MY,1710200697
14,uturoa,-16.7333,-151.4333,83.21,77,77,8.14,PF,1710200891
15,avarua,-21.2078,-159.775,77.05,83,75,11.5,CK,1710200891
16,lihue,21.9789,-159.3672,79.84,77,75,13.8,US,1710200892
17,bilibino,68.0546,166.4372,-9.89,92,84,1.39,RU,1710200892
18,la'ie,21.6477,-157.9253,80.56,67,100,7.0,US,1710200892
19,la passe,45.5549,-0.8967,48.43,88,69,9.55,FR,1710200892
20,owatonna,44.0839,-93.226,68.07,22,0,4.61,US,1710200892
21,coari,-4.085,-63.1414,78.89,91,97,3.4,BR,1710200893
22,ribeira grande,38.5167,-28.7,60.78,91,24,14.0,PT,1710200893
23,port saint john's,-31.6229,29.5448,74.25,89,0,10.69,ZA,1710200893
24,kruisfontein,-34.0033,24.7314,69.89,88,11,6.96,ZA,1710200894
25,menzelinsk,55.7271,53.1026,5.22,96,87,5.99,RU,1710200894
26,bel ombre,-4.6167,55.4167,82.24,83,20,3.44,SC,1710200894
27,yemva,62.59,50.8594,0.45,100,92,3.33,RU,1710200895
28,an nimas,19.1455,42.1201,57.38,44,3,2.28,SA,1710200895
29,albany,42.6001,-73.9662,38.35,53,14,5.99,US,1710200895
30,qaqortoq,60.7167,-46.0333,17.17,92,12,5.01,GL,1710200896
31,weno,7.4515,151.8468,81.27,67,100,23.55,FM,1710200685
32,jamestown,42.097,-79.2353,40.71,41,100,10.36,US,1710200655
33,kirensk,57.7853,108.1119,17.96,96,94,5.01,RU,1710200896
34,cannonvale,-20.2833,148.7,78.19,77,96,19.24,AU,1710200897
35,edinburgh of the seven seas,-37.0676,-12.3116,59.74,63,92,5.44,SH,1710200897
36,guerrero negro,27.9769,-114.0611,63.45,59,91,17.02,MX,1710200897
37,college,64.8569,-147.8028,5.47,43,40,5.75,US,1710200897
38,port-aux-francais,-49.35,70.2167,42.73,66,4,26.73,TF,1710200898
39,rabo de peixe,37.8,-25.5833,63.99,99,75,25.32,PT,1710200898
40,masterton,-40.9597,175.6575,65.88,65,90,7.09,NZ,1710200898
41,kingston,17.997,-76.7936,85.15,70,20,3.44,JM,1710200898
42,ilulissat,69.2167,-51.1,12.22,85,100,8.05,GL,1710200899
43,mocimboa,-11.3167,40.35,75.97,89,62,4.16,MZ,1710200899
44,mount pearl,47.5166,-52.7813,35.33,98,100,29.93,CA,1710200899
45,zouerate,22.7187,-12.4521,69.1,25,98,3.71,MR,1710200899
46,dryden,49.7833,-92.7503,53.89,28,40,5.75,CA,1710200900
47,urangan,-25.3,152.9,78.21,85,64,5.99,AU,1710200900
48,port mathurin,-19.6833,63.4167,79.79,74,87,17.56,MU,1710200900
49,minas de marcona,-15.2119,-75.1103,65.84,80,90,12.73,PE,1710200697
50,invercargill,-46.4,168.35,55.02,80,81,5.99,NZ,1710200901
51,noyabrsk,63.1994,75.4507,-12.77,100,100,1.99,RU,1710200901
52,gisborne,-38.6533,178.0042,64.26,77,76,4.99,NZ,1710200887
53,zalesovo,53.9939,84.7431,16.38,92,94,5.75,RU,1710200902
54,veraval,20.9,70.3667,73.71,68,0,12.59,IN,1710200902
55,beau vallon,-20.4189,57.6953,79.03,83,40,4.61,MU,1710200902
56,hilo,19.7297,-155.09,74.28,85,75,8.05,US,1710200903
57,isafjordur,66.0755,-23.124,32.61,92,99,21.85,IS,1710200903
58,yellowknife,62.456,-114.3525,18.12,62,75,8.05,CA,1710200903
59,hermanus,-34.4187,19.2345,68.81,87,40,9.22,ZA,1710200904
60,waitangi,-43.9535,-176.5597,55.81,68,62,4.0,NZ,1710200904
61,palu,-0.8917,119.8707,80.62,88,97,2.8,ID,1710200904
62,iqaluit,63.7506,-68.5145,-11.31,76,40,0.0,CA,1710200905
63,kourou,5.1552,-52.6478,82.45,84,12,7.11,GF,1710200905
64,vilyuchinsk,52.9306,158.4028,26.87,68,100,8.59,RU,1710200905
65,juneau,58.3019,-134.4197,42.8,39,100,10.36,US,1710200906
66,adamstown,-25.066,-130.1015,74.44,84,97,4.38,PN,1710200906
67,anadyr,64.75,177.4833,-12.5,75,20,6.71,RU,1710200906
68,villa bruzual,9.3328,-69.1208,91.53,33,52,2.13,VE,1710200907
69,nikolayevsk-on-amure,53.1406,140.73,13.64,79,68,3.15,RU,1710200907
70,fortuna,40.5982,-124.1573,48.65,94,75,21.85,US,1710200907
71,bethel,41.3712,-73.414,46.71,27,0,13.8,US,1710200908
72,carnarvon,-24.8667,113.6333,84.2,65,5,14.5,AU,1710200908
73,gora,51.6664,16.5349,44.1,95,100,5.5,PL,1710200913
74,puerto ayora,-0.7393,-90.3518,80.55,93,48,1.99,EC,1710200915
75,la ronge,55.1001,-105.2842,43.02,42,40,6.91,CA,1710200917
76,filadelfia,39.9523,-75.1638,52.27,29,0,1.99,US,1710200701
77,margaret river,-33.95,115.0667,60.58,72,1,10.67,AU,1710200924
78,nabire,-3.3667,135.4833,76.14,90,100,0.72,ID,1710200929
79,bargaal,11.2864,51.0773,76.51,85,24,1.7,SO,1710200667
80,nyaunglebin,17.95,96.7333,69.44,48,27,4.21,MM,1710200936
81,longyearbyen,78.2186,15.6401,4.84,51,40,19.57,SJ,1710200938
82,arraial do cabo,-22.9661,-42.0278,78.66,89,40,6.91,BR,1710200940
83,ushuaia,-54.8,-68.3,46.06,71,0,0.0,AR,1710200698
84,lebu,-37.6167,-73.65,58.77,84,2,19.19,CL,1710200843
85,thompson,55.7435,-97.8558,48.36,46,75,0.0,CA,1710200945
86,rongelap,11.1635,166.8941,80.01,83,95,21.68,MH,1710200947
87,sur,22.5667,59.5289,74.44,75,1,14.47,OM,1710200949
88,keflavik,64.0049,-22.5624,34.23,80,0,10.36,IS,1710200951
89,chonchi,-42.6128,-73.8092,56.41,97,100,11.36,CL,1710200952
90,sungjibaegam,41.2428,128.7989,16.97,67,84,6.6,KP,1710200953
91,kailua-kona,19.6406,-155.9956,76.96,82,100,8.05,US,1710200955
92,greymouth,-42.4667,171.2,61.72,78,100,6.8,NZ,1710200772
93,kodinar,20.7903,70.7031,73.62,61,0,10.02,IN,1710200963
94,badger,64.8,-147.5333,5.38,50,0,5.75,US,1710200964
95,chibougamau,49.9168,-74.3659,19.02,93,100,10.36,CA,1710200964
96,whitehorse,60.7161,-135.0538,32.81,51,75,8.05,CA,1710200964
97,howard springs,-12.497,131.047,78.87,97,100,5.32,AU,1710200965
98,severo-yeniseyskiy,60.3725,93.0408,10.58,97,100,1.99,RU,1710200965
99,port elizabeth,-33.918,25.5701,73.31,99,100,3.44,ZA,1710200965
100,shihezi,44.3,86.0333,25.34,91,45,0.69,CN,1710200966
101,constantia,44.1833,28.65,47.08,88,100,15.21,RO,1710200966
102,port macquarie,-31.4333,152.9167,79.9,54,49,4.92,AU,1710200966
103,porto novo,6.4965,2.6036,81.95,86,55,5.68,BJ,1710200967
104,hawaiian paradise park,19.5933,-154.9731,73.04,90,75,8.05,US,1710200967
105,stanley,54.868,-1.6985,40.28,97,100,2.3,GB,1710200856
106,karwar,14.8,74.1333,74.5,73,0,3.06,IN,1710200968
107,northam,51.0333,-4.2167,47.66,94,100,10.56,GB,1710200969
108,bredasdorp,-34.5322,20.0403,66.29,94,29,6.73,ZA,1710200969
109,saipan,15.1355,145.701,83.1,69,40,19.57,MP,1710200970
110,happy valley-goose bay,53.3168,-60.3315,28.71,80,100,24.16,CA,1710200970
111,lucea,18.451,-78.1736,82.26,77,4,6.26,JM,1710200971
112,heihe,50.2441,127.4902,9.18,89,94,2.84,CN,1710200972
113,punta arenas,-53.15,-70.9167,51.91,71,40,5.75,CL,1710200834
114,burnie,-41.0667,145.9167,70.45,50,23,10.16,AU,1710200974
115,hadibu,12.65,54.0333,78.26,76,4,6.29,YE,1710200976
116,utrik,11.2278,169.8474,79.81,82,97,23.44,MH,1710200977
117,west island,-12.1568,96.8225,80.58,78,100,13.8,CC,1710200980
118,conception bay south,47.4999,-52.9981,35.92,98,100,33.02,CA,1710200783
119,gouyave,12.1646,-61.7296,79.52,81,31,14.65,GD,1710200990
120,belyy yar,53.6039,91.3903,31.89,80,0,13.42,RU,1710200992
121,burao,9.5221,45.5336,71.67,70,0,9.91,SO,1710200992
122,kodiak,57.79,-152.4072,26.11,63,100,13.8,US,1710200992
123,mata-utu,-13.2816,-176.1745,85.05,77,68,9.44,WF,1710200993
124,yangjiang,21.85,111.9667,63.82,81,2,7.85,CN,1710200993
125,wailua homesteads,22.0669,-159.378,79.23,76,75,13.8,US,1710200995
126,tahlequah,35.9154,-94.97,69.08,36,0,5.75,US,1710200998
127,st. john's,47.5649,-52.7093,36.16,97,100,29.93,CA,1710200743
128,puerto natales,-51.7236,-72.4875,44.69,91,89,0.09,CL,1710201010
129,mounana,-1.4085,13.1586,73.72,94,79,2.68,GA,1710201011
130,taksimo,56.3444,114.8794,12.4,86,78,2.46,RU,1710201012
131,cradock,-32.1642,25.6192,72.03,53,0,4.23,ZA,1710201023
132,ofunato,39.0717,141.7167,47.97,49,100,3.51,JP,1710201024
133,conde,-7.2597,-34.9075,83.66,79,20,8.05,BR,1710201026
134,bethanie,-26.4833,17.15,80.28,25,47,2.86,NA,1710201027
135,labytnangi,66.6572,66.4183,-22.63,96,56,3.42,RU,1710201029
136,ballina,-28.8667,153.5667,74.79,54,55,10.09,AU,1710201030
137,santana,-0.0583,-51.1817,80.78,89,0,3.44,BR,1710201030
138,bosaso,11.2842,49.1816,80.04,65,2,6.35,SO,1710201031
139,sao vicente,-23.9631,-46.3919,78.94,47,17,5.99,BR,1710201032
140,malangali,-8.5667,34.85,64.94,95,100,3.56,TZ,1710201032
141,san patricio,28.017,-97.5169,71.55,69,91,12.21,US,1710201033
142,igrim,63.1906,64.4162,-11.47,100,94,3.04,RU,1710201033
143,la foa,-21.7108,165.8276,79.32,84,100,6.87,NC,1710201034
144,fale old settlement,-9.3852,-171.2468,85.87,75,96,13.78,TK,1710201034
145,senillosa,-39.0,-68.4167,80.38,21,0,9.8,AR,1710201035
146,kotlas,61.2611,46.6556,27.05,91,90,7.0,RU,1710201035
147,huarmey,-10.0681,-78.1522,74.66,81,87,10.2,PE,1710201035
148,karratha,-20.7377,116.8463,83.28,68,86,10.42,AU,1710201036
149,iskateley,67.6803,53.1512,-4.99,98,62,5.99,RU,1710201036
150,dudinka,69.4058,86.1778,-19.32,100,99,4.0,RU,1710201036
151,kenai,60.5544,-151.2583,28.49,82,100,11.5,US,1710200767
152,olonkinbyen,70.9221,-8.7187,28.35,93,100,15.03,SJ,1710201037
153,ad darb,17.7229,42.2526,85.78,62,8,4.92,SA,1710201037
154,palmer,42.1584,-72.3287,41.63,41,42,5.99,US,1710201034
155,talnakh,69.4865,88.3972,-15.99,98,100,5.95,RU,1710201038
156,luau,-10.7073,22.2247,65.88,98,93,2.57,AO,1710201038
157,petropavlovsk-kamchatsky,53.0452,158.6483,25.39,95,75,8.01,RU,1710201038
158,grand-bassam,5.2118,-3.7388,84.16,87,64,3.94,CI,1710201038
159,yelizovo,53.1873,158.3805,26.74,79,75,2.24,RU,1710201039
160,tralee,52.2704,-9.7026,52.03,89,100,16.04,IE,1710201039
161,kupino,54.3663,77.2981,-2.18,100,95,5.5,RU,1710201039
162,tolanaro,-25.0319,46.9987,78.87,94,20,18.41,MG,1710201039
163,ouargla,31.9493,5.325,61.45,28,62,9.89,DZ,1710201039
164,ust-nera,64.5667,143.2,-12.19,96,77,2.93,RU,1710201040
165,balta,47.9355,29.6198,39.16,77,100,16.93,UA,1710201040
166,kalach,50.4258,41.0261,23.99,76,50,7.38,RU,1710201040
167,igarka,67.4667,86.5833,-21.17,100,98,3.33,RU,1710201041
168,blackpool,53.8167,-3.05,44.89,83,100,8.43,GB,1710201041
169,port lincoln,-34.7333,135.8667,71.58,74,100,10.22,AU,1710201041
170,aasiaat,68.7098,-52.8699,-4.0,99,65,0.83,GL,1710201041
171,sao joao da barra,-21.6403,-41.0511,78.89,89,32,11.74,BR,1710200827
172,morehead city,34.7229,-76.726,57.25,45,0,10.36,US,1710201042
173,san clemente del tuyu,-36.3569,-56.7235,68.99,87,73,12.86,AR,1710201042
174,greenville,35.6127,-77.3663,57.36,35,0,0.0,US,1710200934
175,vila franca do campo,37.7167,-25.4333,64.89,99,100,13.87,PT,1710200865
176,slonim,53.0867,25.3219,31.6,70,94,12.86,BY,1710201043
177,aykhal,66.0,111.5,-5.93,100,97,5.39,RU,1710201043
178,ndola,-12.9587,28.6366,63.77,95,100,3.02,ZM,1710201043
179,cidreira,-30.1811,-50.2056,72.52,77,33,15.7,BR,1710201043
180,alice springs,-23.7,133.8833,87.35,30,2,9.22,AU,1710201044
181,lander,42.833,-108.7307,53.11,25,0,16.11,US,1710201044
182,usogorsk,63.4106,48.6872,-3.12,100,92,3.09,RU,1710201044
183,santa cruz,-17.8,-63.1667,87.85,66,20,13.8,BO,1710201045
184,selfoss,63.9331,-20.9971,28.04,62,34,11.83,IS,1710201045
185,remire-montjoly,4.9167,-52.2667,82.44,83,100,5.75,GF,1710201045
186,vanimo,-2.6741,141.3028,77.18,97,100,6.91,PG,1710201046
187,taroa,8.7058,171.2275,80.62,86,80,23.49,MH,1710201046
188,inhambane,-23.865,35.3833,77.9,86,100,20.89,MZ,1710201046
189,xingtai,37.0631,114.4942,43.14,44,3,2.1,CN,1710201046
190,hwange,-18.3693,26.5019,74.84,55,7,4.79,ZW,1710201046
191,kapa'a,22.0752,-159.319,80.58,77,75,13.8,US,1710201047
192,dortyol,36.8616,36.2289,52.0,63,37,2.33,TR,1710201047
